Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:37:04.430,114249.9,0.002,BTCUSDT
2025-09-30 00:37:04.430,114249.9,0.001,BTCUSDT
2025-09-30 00:37:04.430,114249.7,0.002,BTCUSDT
2025-09-30 00:37:04.430,114249.3,0.002,BTCUSDT
2025-09-30 00:37:04.430,114249.3,0.001,BTCUSDT
2025-09-30 00:37:04.430,114249.3,0.002,BTCUSDT
2025-09-30 00:37:04.430,114249.2,0.002,BTCUSDT
2025-09-30 00:37:04.430,114248.9,0.001,BTCUSDT
2025-09-30 00:37:04.430,114248.6,0.002,BTCUSDT
2025-09-30 00:37:04.430,114248.6,0.001,BTCUSDT
2025-09-30 00:37:04.632,114248.5,0.002,BTCUSDT
2025-09-30 00:37:05.067,114248.5,0.003,BTCUSDT
2025-09-30 00:37:05.181,114248.5,0.001,BTCUSDT
2025-09-30 00:37:05.226,114248.5,0.01,BTCUSDT
2025-09-30 00:37:05.328,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.328,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.328,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.328,114248.6,0.003,BTCUSDT
2025-09-30 00:37:05.328,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.328,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.423,114248.6,0.008,BTCUSDT
2025-09-30 00:37:05.468,114248.5,0.001,BTCUSDT
2025-09-30 00:37:05.531,114248.5,0.01,BTCUSDT
2025-09-30 00:37:05.536,114248.6,0.005,BTCUSDT
2025-09-30 00:37:05.536,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.536,114248.6,0.002,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.003,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.017,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.008,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.009,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.061,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.006,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.288,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.008,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.003,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.004,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.002,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.001,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.16,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.111,BTCUSDT
2025-09-30 00:37:05.588,114248.6,0.006,BTCUSDT
2025-09-30 00:37:05.589,114248.7,0.001,BTCUSDT
2025-09-30 00:37:05.589,114248.7,0.001,BTCUSDT
2025-09-30 00:37:05.589,114248.7,0.001,BTCUSDT
2025-09-30 00:37:05.589,114248.7,0.002,BTCUSDT
2025-09-30 00:37:05.589,114250.0,0.001,BTCUSDT
2025-09-30 00:37:05.589,114250.1,0.006,BTCUSDT
2025-09-30 00:37:05.589,114251.4,0.002,BTCUSDT
2025-09-30 00:37:05.589,114251.4,0.001,BTCUSDT
2025-09-30 00:37:05.589,114251.5,0.452,BTCUSDT
2025-09-30 00:37:05.590,114251.5,0.5,BTCUSDT
2025-09-30 00:37:05.590,114252.2,0.003,BTCUSDT
2025-09-30 00:37:05.590,114252.3,0.001,BTCUSDT
2025-09-30 00:37:05.590,114252.4,0.001,BTCUSDT
2025-09-30 00:37:05.590,114252.6,0.065,BTCUSDT
2025-09-30 00:37:05.590,114252.7,0.066,BTCUSDT
2025-09-30 00:37:05.590,114252.7,0.006,BTCUSDT
2025-09-30 00:37:05.590,114252.9,0.002,BTCUSDT
2025-09-30 00:37:05.593,114253.2,0.001,BTCUSDT
2025-09-30 00:37:05.596,114253.6,0.002,BTCUSDT
2025-09-30 00:37:05.596,114253.6,0.001,BTCUSDT
2025-09-30 00:37:05.596,114253.6,0.001,BTCUSDT
2025-09-30 00:37:05.607,114253.6,0.004,BTCUSDT
2025-09-30 00:37:05.650,114253.7,0.001,BTCUSDT
2025-09-30 00:37:05.650,114253.7,0.001,BTCUSDT
2025-09-30 00:37:05.650,114253.7,0.001,BTCUSDT
2025-09-30 00:37:05.650,114253.7,0.001,BTCUSDT
2025-09-30 00:37:05.650,114253.7,0.001,BTCUSDT
2025-09-30 00:37:05.650,114253.7,0.001,BTCUSDT
